Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
82,Londolozi Game Reserve,James Tyrrell,Facebook,Spring,23/9/2014,afternoon,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://blog.londolozi.com/2014/09/23/a-pangolin-walks/?fbclid=IwAR08Y9ep5Lbb2z2i44xU9Si09KMX_WbrTtUgg5zZDyh28F0TItBBj7QuCg4
83,Londolozi Game Reserve,,Facebook,Winter,21/6/2018,evening,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,dead,grasses,preyed on by a leopard,,,https://web.facebook.com/londolozigamereserve/photos/a.244058019010256/1694178350664875/
84,Extraordinary Africa,,Facebook,Spring,16/10/2019,evening,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://web.facebook.com/photo?fbid=2717385574939666&set=a.2717385248273032
85,Londolozi Game Reserve,James Tyrrell,Facebook,spring,19/11/2013,evening,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,hiding,,,https://blog.londolozi.com/2013/11/19/my-turn/?fbclid=IwAR2ARqp4HRHpXJ3lXpKyxNU0W7LiJ44-cqLJ5ln0sBHYTsqw5q_yiPQIcIc
86,figtravelco,Tiffany Figueiredo,Instagram,Winter,16/6/2019,evening,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,dead,grasses,curled due to lion attack,,,https://www.instagram.com/p/Byw9Y9pHs37/
87,jamotyrrell,James Tyrrell,Instagram,Summer,22/12/2018,evening,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,female with pup,,https://www.instagram.com/p/BrrsjXRh53G/
88,guy_brunskill,Guy Brunskill,Instagram,Summer,24/12/2018,daylight,South Africa,Mpumalanga,Londolozi Private Game Reserve,Sabi Sands Game Reserve,western boarder of Kruger,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,burrow entrance,curling,female with pup,,https://www.instagram.com/p/Brw05C6FLqW/
89,Tented Adventures,Jason Branford,Facebook,Summer,29/12/2019,afternoon,South Africa,Mpumalanga,Pretoriuskop Rest Camp,Kruger National Park,Oldest Rest Camp,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1490697714412162&set=basw.AbozMSZxSW2IdwwLwY9eDMNWDFkWZ6AQkTfqn-nkgLic8dUa8UsIEBhSRb76sPWonimCWQGzuuoFW8QfjchSlGxlXjKqvz4gUXRF-VJM8RIVQqisYrx4INyJcRurKxSVwPGUs2VTMyz5MZAMVC2XTFw-qiV9-KLci8ZrkfqwdocAIQ&opaqueCursor=AbqDXvyCSkd-_8PP8ULEqyvXbAzecpGzM1_rvkpr1l10FXf9kbizSsl2wQtyoOdujm55OqONK0or7KdHi2GdUTnQagPRsoTcr7NvSfms-tbrMsWdgIpXIFqXgG5tWYHGyNjn-S9JoZYyaUMLfBPXa67Fcm0Pv-QYhmyO_RkRGWFpfKSVWxx9XwrxGJsToeKjD15c-Q6kGd-4Fxp6rdpBnTNEVrTwEn8A__Z6jltv1t3Guk8mc_NsTlCPLFrh7fGX3n_-NI1BH1U3VDERvJPopwYKcPI0G8-SgKaQtjv9HQDcZlzNuYpG88m_r4qVHaZQDnAXXox_qDwIQQvTEDrHjr-JhVCoPW-pGirVXdiQnsV0koUaNlN6PraJkxG6ipqMf9WHb6Fp2k7hibWd6KD2kJb9c7ndRp4EXi9Lt-8K-ygXr-0MY5AxFtzDln7SYrlPMN1cOd5fVaIxJeRl810u7zXMbbn8HJ_tMIuZrDKyrvoT54xwArT4EA8mrYfIlOODtyYH4GXfGyP6Db1UszYf5jSBuXSmqKLq-QzRRPDHoPn5lSrevRdv63FOMMTqUxVUxDvYxrTwVwALGHQi4k2LO60LxPd5DCRWz-rWjRQXKDJ1xss4ClS_-MelC15ylY93gFGD01Zk_GQ4TjVW3zAlCr76sur4OXxQsaZUZDSyC7h6570A-L_g0O7nvEYhSi7hwEIJalyw6GNJse6W8azsoUk6vT5fPsW8utGx8AD0yOg9C1y7Y5dlweszgl5sg8wgK_ghgJKgoLXJgKUnWgvwsbuenNr9UuyMASjoTRnfBQvV2T7b7N0byBrsW1TgvpgTFcIoGzcCcLao9JEldIjqye9xUeSN1byy3CoXjioJWj-AR52404JK5Z-8TZ-XfC2XTVcp4Nycxs2RIriZA0DvECTN-hPcEvW15wn55T-d2COMPWMpDU7aKTuqFUOiR4t5SDJIcZI5mBovt-UxlLFmKvn9V6KvIeoONOrcJibk_y0H-C8hxN1kkTn127ExSYNLeSX__bi0aWzhrYMWiPFPvc8zA3vWhJ-JlsMf7jj1SDaVqu8oCMeTYZ4V3mIVtYB6TZq6C7mQFzkraIVquNszD1grSlKgeydmmB6aqWpig9LmOmO0z7SWe7WVnTeDsDH3Zg7Ufka-VjPAJsAh0k51VABmVhf0MbmhHfLccttCJ9BBPtKjHq2AtyMKot4tATyBeUNDiCOAgmyxKScBS33jP9qHntjCWSVAKfRYXbql2derAcINwOxMswVG55QZiYsg8vASnyYYM0GoGOeb2oaIZ693Tvcf5Om6zzHVM87Mtovyo0OPMlU9U8wDNuwlbQGAeN9SwN2wloPd0K-8ArHaAO4KbRA0h__zIR4gdfWjYmGGdPfWcj18VDFdpD9GssSn3V5aC-NxExAoc-x1SjYhLChXfSFEmTF3ysJuce51_UkesQ
90,lukeovendale,Luke Ovendale,Instagram,Winter,7/6/2017,evening,South Africa,Limpopo,Katekani Tented Lodge,Kruger National Park,,Limpopo-other,Limpopo-Greater Kruger National Park,alive,ground surface,paused,,,https://www.instagram.com/p/BVC72Aqlp3P/
91,senalala_safari,James,Instagram,Winter,18/7/2016,evening,South Africa,Limpopo,Senalala Safari Lodge,Klaserie Private Game Reserve,adjacent to the Kruger Park and the Timbavati Game Reserve,Limpopo-other,Limpopo-Greater Kruger National Park,alive,grasses,lying on the grasses,,,https://www.instagram.com/p/BIAYZ8zB9KH/
92,senalala_safari,,Instagram,Winter,25/7/2017,morning,South Africa,Limpopo,Senalala Safari Lodge,Klaserie Private Game Reserve,adjacent to the Kruger Park and the Timbavati Game Reserve,Limpopo-other,Limpopo-Greater Kruger National Park,alive,grasses,lying on the grasses,,yes,https://www.instagram.com/p/BW-tJZyFi40/
93,darryn_wildlife_photography,Darryn Rentzke,Instagram,Winter,10/8/2016,daylight,South Africa,Limpopo,Senalala Safari Lodge,Klaserie Private Game Reserve,adjacent to the Kruger Park and the Timbavati Game Reserve,Limpopo-other,Limpopo-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BI67aUthbBt/
94,darryn_wildlife_photography,Darryn Rentzke,Instagram,Winter,5/8/2017,morning,South Africa,Limpopo,Senalala Safari Lodge,Klaserie Private Game Reserve,adjacent to the Kruger Park and the Timbavati Game Reserve,Limpopo-other,Limpopo-Greater Kruger National Park,alive,grasses,walking,,yes,https://www.instagram.com/p/BXZ1g-XBe-4/
95,darryn_wildlife_photography,Darryn Rentzke,Instagram,Spring,10/11/2019,daylight,South Africa,Limpopo,Senalala Safari Lodge,Klaserie Private Game Reserve,adjacent to the Kruger Park and the Timbavati Game Reserve,Limpopo-other,Limpopo-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B4r7LRjgwCI/
96,Robin Hebster Photography and Private Guiding,Robin Hebster,Facebook,Spring,4/10/2015,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/RobinHesterPhotography/videos/492394847606556
97,Mala mala game reserve,Johannes D Welman,Facebook,Summer,12/12/2019,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,hiding,,,https://www.facebook.com/malamalagamereserve/photos/a.191706490880983/1737463389638611/?type=3&theater
98,MalaMala Game Reserve,Dean Wraith,Facebook,Spring,4/10/2015,morning,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,vegetation,mating,male and female mating,,https://www.facebook.com/malamalagamereserve/photos/a.191706490880983/1011293532255604/?type=3&theater
99,MalaMala Game Reserve,James Moodie,Facebook,Autumn,15/5/2015,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.191706490880983/937371732981118/?type=3&theater
100,MalaMala Game Reserve,Donald MacCrimmon,Facebook,Summer,11/12/2011,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.277023402349291/277023625682602/?type=3&theater
101,MalaMala Game Reserve,Grant Roodt,Facebook,Winter,10/7/2014,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,thick grass,walking with pup on her back,female with pup,,https://www.facebook.com/malamalagamereserve/photos/a.191706490880983/771655189552774/?type=3&theater
102,MalaMala Game Reserve,Gareth Greensil,Facebook,Spring,19/10/2010,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.134619203256379/134619339923032/?type=3&theater
103,MalaMala Game Reserve,Gary Hill,Facebook,Autumn,19/3/2013,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,young pangolin,,https://www.facebook.com/malamalagamereserve/photos/a.529291463789149/529292497122379/?type=3&theater
104,MalaMala Game Reserve,Matt Meyer,Facebook,Winter,11/7/2012,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,feeding,,,https://www.facebook.com/malamalagamereserve/photos/a.420830997968530/420834061301557/?type=3&theater
105,MalaMala Game Reserve,Noldy Nolden,Facebook,Autumn,18/3/2013,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking with pup on her back,female with pup,,https://www.facebook.com/malamalagamereserve/photos/a.529291463789149/529291690455793/?type=3&theater
106,MalaMala Game Reserve,Francky Wygers,Facebook,Spring,11/10/2010,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.132700720114894/132701093448190/?type=3&theater
107,MalaMala Game Reserve,Andrew Batchelor,Facebook,Winter,21/6/2011,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.194885497229749/194885563896409/?type=3&theater
108,richard_visser1,Richard Visser,Instagram,Winter,26/8/2019,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,dead branch,basking,,,https://www.instagram.com/p/B1nfjUcASnL/
109,Ij_Hendodo,Liam Henderson,Instagram,Spring,8/9/2019,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/B2IsHQFHOAB/
110,daniel_charles_bailey,Daniel Bailey,Instagram,Winter,11/7/2016,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,uncurling,,,https://www.instagram.com/p/BHt7d5wAx3L/
111,daniel_charles_bailey,Daniel Bailey,Instagram,Winter,22/8/2019,afternoon,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,digging and feeding,,,https://www.instagram.com/p/B1etNvhgItk/
112,MalaMala Game Reserve,Andrew Batchelor,Facebook,Winter,14/8/2011,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,sand,walking,,,https://www.facebook.com/malamalagamereserve/photos/a.220875997964032/220876547963977/?type=3&theater
113,b.radlove,Brad,Instagram,Winter,1/8/2019,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B4VQNzzgvln/
114,craigleaver,Craig Leaver,Instagram,Winter,8/7/2019,evening,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://www.instagram.com/p/BzqlJT0n83p/?igshid=higyhgxfvzi4
115,craigleaver,Craig Leaver,Instagram,Winter,22/7/2019,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B0OuGG5HeQW/?igshid=1gutk09l6ndnu
116,48_kylesmith,Kyle Smith,Instagram,Winter,9/7/2018,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://www.instagram.com/p/Bk_12wbhhAu/
117,48_kylesmith,Kyle Smith,Instagram,Winter,30/7/2019,morning,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B0iXKESHFPF/
118,48_kylesmith,Kyle Smith,Instagram,Winter,27/7/2019,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/B1pxv1hHOtt/
119,48_kylesmith,Kyle Smith,Instagram,Spring,5/9/2019,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/B2BK7WEg1d-/
120,garethnuttallsmith,Gareth Nuttall-Smith,Instagram,Winter,25/8/2019,daylight,South Africa,Mpumalanga,Mala Mala Game Reserve,Sabi Sands Game Reserve,lies on the Sand River,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/B1mTxL0Avpb/
121,"Inyathi Game Lodge, Sabi Sands Game Reserve",Francky Wygers,Facebook,Winter,10/7/2016,evening,South Africa,Mpumalanga,Inyathi Game Lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,male pango,,https://www.facebook.com/Inyatigamelodge/photos/a.253643860536/10157059562110537/?type=3&theater
122,"Inyathi Game Lodge, Sabi Sands Game Reserve",Khimbini ,Facebook,Autumn,24/5/2015,evening,South Africa,Mpumalanga,Inyathi Game Lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.facebook.com/Inyatigamelodge/photos/a.10151760849395537/10155535978165537/?type=3&theater
123,"Inyathi Game Lodge, Sabi Sands Game Reserve",Khimbini ,Facebook,Spring,11/9/2011,afternoon,South Africa,Mpumalanga,Inyathi Game Lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://www.facebook.com/Inyatigamelodge/photos/a.253643860536/10150798669425537/?type=3&theater
124,"Inyathi Game Lodge, Sabi Sands Game Reserve",Keith Jenkinson,Facebook,Summer,5/11/2011,evening,South Africa,Mpumalanga,Inyathi Game Lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking and peeking,,,https://www.facebook.com/Inyatigamelodge/photos/a.253643860536/10150913663695537/?type=3&theater
125,"Inyathi Game Lodge, Sabi Sands Game Reserve",Roger Hlongwane,Facebook,Winter,25/8/2019,evening,South Africa,Mpumalanga,Inyathi Game Lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/Inyatigamelodge/posts/10162174648620537
126,Outlook Safaris,Ben Andrew,Facebook,Spring,4/9/2013,morning,South Africa,Mpumalanga,Near Skukuza,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://mobile.facebook.com/story.php?story_fbid=594894323893963&id=137572652959468&_rdc=1&_rdr
127,Latest Sightings-Kruger,Louis Kotze,Facebook,Spring,5/10/2018,afternoon,South Africa,Mpumalanga,Near Skukuza,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,bushes,walking,,,https://web.facebook.com/photo?fbid=2286471034756546&set=basw.AbpsP2a46uH9g-e5lHjFmHkQskIMMiqqqWoKMdZSdmFrV4Nhl6eFcQZG9KGvq863dCJqMq_CExrfG-YQhMaOn-euNdPHO99s0gh3OdwdTHzIvVLc9Oa1RUtmG42rBT0xxd0D574nnjvbJwvrjXsqhhq6psh-11c-blLJeghnz00Ajw&opaqueCursor=Abr_xZs_uXAx3ipSOqELUwGk8JpIuC_a7k8eqk1xZGATCjae_hrz30HFlVVXvYY9QV4o0jTOKN3PcIsnbJ2l0Vb2gSRC5kN1DuKBOStUeFbVDDgwwApBu6aIIOIJX-Ewuc3YBhXI8xvZCDrCuBGsKAkUwkg-N1rKU8MA1dYcUsBXSYbf_m_W8noTjRzyN3zRYTkGCwH8xSmXeB6iAiqzfN_AKrrIX_EZsjnvHf2_29igmzpnxZXz39EXuZ1dv-ANbZoYgBfsG2AezxdnIPlz3MZ0gLkzjAUSbx75nD7R8eSjDMnl6DnJdFzyQuMexEhCkAhxybZiGsnopYYon4ltf7QIvYA9Csu20x0nZVgxx2DGmIYW0qvE0KUrs_i-NR5ET_7J6tCgeNNthUuEhLXxAqBZooJQ6FvvgYjQftZvThSS40WiN0P3EiPLMvJevv4ILBavSCgnhbu7Rd6FJexYGh4OgbaMtt1qtbCk7xU4PHONoUpJ2JV7p0-9I6M4-xy432y6cp120aRrzpdxzsPKFP0h1rHp2-W0SkSmkuRdWDyc9HLeH3fIVjG6SD7MDJnKsusf9sI97C_ejyxHUfhEojEt6UUaa4WhJa0CUc65CGr5klX2CCb6yDLYDif7VZi0TiX7XP9rFVhcZcA67JrocsvFweX5Ns3Nil1CxbuwwkvTEt9W0QnB3yO-5OMMZIGgDSnT5o_EVyHveVK_Vk5uqW6Cp6cwUiYLUUWnZU08FTNUn8tekW5Nuhm-6a8OSKsymPborK1HAViGd-7-txgfUhVIxNiJkssqj7tIMdPJET9fQt39jj375LLwb12M5VfN2Ld-YMFZa_etujs1wTqQKWhXb3jkw6e7_WlRb1-Fiq2RzUL13W0FHa80V21NK6sYf9717JLhhYuTdq4nMM56DVyFw7g5SY57vQXEw87l4O7E3yXy0XbZD3uedBWWUX0rHjK47f8SjuFguMwp4VdrNqr4RP9Vic2b63GmXJZd5f4rpw
128,Latest Sightings-Kruger,Niels ,Facebook,Autumn,8/5/2018,afternoon,South Africa,Mpumalanga,Near Skukuza,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,crossing the road,,,https://web.facebook.com/photo?fbid=2009807445756241&set=basw.Abod8pAPgj6k_WZ-PGGPRT9t6P2vOk6fxeD-zxXg6GFQ2ZplY1bU6NNJEmKRNt-TvSkPB-elLqIF2JsVT1qXOfLr2nnoKDwKNm84vtMKBCfFTlMEgVyk_EIYF_AwKbuAmGosDz1Dt1GkH004uc0NPUy-eJ192XqSSU1eIdbrJXr7CQ&opaqueCursor=AbpaTCzK85Tx7Ky_bfjDWvdHxWpXZ7PoGZGCwe9SL8chdVkt7i6DI-Cy6iVdIa8FnuKcjjrvYlqWM1q-mvXoaCnd6_kfgTi0C1fIe4yY8m9zO22qQvgnoIZG7g-AMN8ZdKYRFPeGwDxu4hbMntI2temaw9nwvd5CFAwi8Yx7NmV5FsbN6p5HrWw2KSwu31neQzqhA6g5p-FBPCxMhq_XrbsVn-IYwFvGTEKNBT_3NdlSo-c2M3Nl74Fg2Yz2yDDS0Troo2UWqCMSTBxxjJUkLXHxdUdMHhqA7F9uO8tlpyLTqJiGg-hohb-b-MSZgymSEL2NQ7mNBYxoE2ppAu_4q-o346jtYRvVBC7t50GQL1BV9wCXAoy04JBiY_FeZV9-UZPS_lbGKh5ff56mIBwvxCWl-ULMLeol6Nx6GTr7wFMh94DUvkD6xandIuaZWoLFRpHRgWA6Zgp_0c9UdsUAE0-BkfXoyolJh3W9fZoySkrMjRQXsRmbHL_SYshBQgrnYcSe1z45eLFUMTVv_CAw3R59s1Bamzfc7KbqaKX1G7U9xOYZv5al0y4eNnuMGJ3k9ewUs8-eT773HVjaBK65iJz75_x2tBb0dEQVsbUUEhTsX9vt27zpF8vi95c8pIhEnqqkUtgTi9C9EPPHDHSEB5MP9u5eMfkkkfH21rpWlnLQ8mxrTUxKa8ksYxob-1ZcV-5N7ZjA5yLZRm7j3EY3BLdSAb-KCGa5WiaIKMJj4I02N3hq9X5u3qc74t7fRgO_KMkQQN40L0EWKbWl6An1_In8pfbpW6l7ghOb6RMsFS_sL43O3qM43_2Yyu2a9vWHNQDzqAd131LgrsdJ74PJAPwjohJlyx5ut7HFaUKVCcwH6elb0FQNsJS0EeQ5370Ljs4LWVfOVXn5YqTWyDMeoAaxV5vLim6AnSNV09j2wr6CfnPdEBcAIZQzBX33l74aL38w0HgC4dHgzsZRsDjvCswAS0-CXPcMcMf7yy3GXTxdxV_pBNrk9-0QV68g1tXuTQ8
